Zone,Latitude,Longitude,Elevation,Urban Density,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp,Flood?,Flood Risk
International City,25.1634,55.4179,6.5,1,45,74.1797038198084,7.948113035416484,0.5026370931051921,6.92284661551631,29.77553081456592,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,49.5692239257731,8.83494022266259,0.7477187738974139,11.436862164287438,24.92250914011541,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,56.08808069658345,3.9469146680947222,0.8442131407263114,11.160202017729983,17.112483925486316,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,78.79110186966875,7.024840839871093,0.35949115121975517,3.5231021311739203,39.28083466435541,1,1
International City,25.1634,55.4179,6.5,1,45,75.49747515444356,7.019668772577034,0.795792669436101,10.680064101810796,25.139854705546075,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,50.05788764897991,5.9083326056901075,0.03050024993904943,0.448178264990573,39.67801681978975,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,35.97432254956376,0.516817211686077,0.531354631568148,6.487621459321279,34.1228970449462,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,31.774552039082025,9.626484146779251,0.8359801205122058,8.351690473124375,27.268588332428095,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,74.67894156903452,5.166962574265667,0.6571113285001668,5.228074784134693,36.90117949685455,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,51.7989316573906,9.795105286215085,0.17533026988933853,0.20593322198100283,37.90093269011733,1,1
Dubai Marina,25.08,55.14,6.0,2,42,92.06762711086333,2.6089362334171398,0.01530454029038475,11.201235696953795,30.031196517457776,0,0
Al Barsha,25.1078,55.2077,7.5,1,40,70.28319245131152,3.881699262065219,0.6432882184423532,5.4990346858981995,31.36850367947805,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,37.05446009641987,0.18221825651549728,0.0944429607559284,8.196081280996282,17.13565945380687,0,0
International City,25.1634,55.4179,6.5,1,45,95.5653706298995,0.39186326675646255,0.41794603171557876,11.61096661824297,31.43915649744262,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,53.85624781771125,9.307573256035647,0.8584127518430118,5.14792832850022,37.52613203374492,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,36.998942101330435,0.534852967473689,0.9585414968831983,10.165717729147078,25.647155713881617,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,82.66621706063759,7.915790437258485,0.7896181427945539,1.0944732365842844,29.832609141077445,1,1
Deira,25.276987,55.296249,4.0,2,55,78.16210071225274,8.369638742373738,0.8668687053108414,10.06176916516782,27.782744251408232,1,1
International City,25.1634,55.4179,6.5,1,45,99.06477049508229,3.742707957561203,0.3706421470668909,9.753594807090032,43.41745732151576,1,1
International City,25.1634,55.4179,6.5,1,45,59.69554064728834,9.06354385094736,0.11119748230615134,5.91150125149031,15.340609343022573,0,0
Al Barsha,25.1078,55.2077,7.5,1,40,97.35207839321794,3.748705795237041,0.28571208628186073,10.423189538273522,21.70787515558358,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,97.85117749333693,5.230978441701488,0.6293986381352625,8.348984267815407,28.636231943033195,1,1
Mirdif,25.2203,55.4162,8.0,1,48,34.050472843039515,3.945217986081299,0.10675606593588438,4.027920777563558,20.090397116866967,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,32.262116577675535,2.797635071689457,0.41120672087218624,7.233382584279582,23.128729275453896,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,68.6111510780849,1.6483426113700095,0.41125511658536906,9.331227404822707,29.41110245599064,0,0
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,32.5775307345194,1.338521188006332,0.013671964826997285,0.9043087242295478,35.75143191506736,0,0
Jebel Ali,25.01016,55.062446,11.0,0,20,56.44953844930505,2.4108483232963183,0.2050453285065249,3.0173092741415815,23.241953910777262,0,0
Mirdif,25.2203,55.4162,8.0,1,48,84.06228742149474,5.201635011119934,0.8521815003185401,6.622882065293826,31.828139146061588,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,39.54600329107389,0.14544665667881929,0.350587558806597,7.079012242255597,26.76732135299197,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,90.36545961227216,9.495206236576422,0.14707348092903794,11.119051501937932,29.763488792386145,1,1
Dubai Marina,25.08,55.14,6.0,2,42,70.57549541302168,3.41563210456545,0.5372634167140701,5.521429907802864,32.542983178474614,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,76.72904169647191,1.7231987120162984,0.19228901880867078,0.49042339519774636,20.068051892164938,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,55.498890273365284,5.034172708548569,0.6903948286293653,0.47174567809318724,38.98231196727128,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,44.65445263356972,3.70472102791382,0.4845229851910213,7.4190572583635515,26.067409187093173,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,61.318865677641824,5.326172664550231,0.24247050363472966,3.2309187713925716,26.31852489313868,0,0
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,71.5514717487834,6.791023191444896,0.7891712386073383,5.981306387148687,17.60760864262271,1,1
International City,25.1634,55.4179,6.5,1,45,92.97531780015086,6.075552222935729,0.24435315546465453,5.978972374187283,24.910454438427422,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,49.956661808569294,1.7337359529475482,0.8967654246264252,0.9628049479397065,30.735341687107642,1,1
Deira,25.276987,55.296249,4.0,2,55,30.37100044783238,9.750671629451425,0.49074877925878446,8.674753159461307,39.625844194600575,0,0
Deira,25.276987,55.296249,4.0,2,55,65.53272650791186,2.4240973241508024,0.11483682473920354,7.327440509299591,23.65891659720767,1,1
Mirdif,25.2203,55.4162,8.0,1,48,99.29721626729616,3.2235384497472297,0.8098744458546349,3.055687857165166,35.44508166671788,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,97.55188374665588,1.2429722348554473,0.7308674752036443,11.260085481852453,20.436991984969804,0,0
Mirdif,25.2203,55.4162,8.0,1,48,41.455916000599316,1.6426579793099294,0.8145747202313821,7.982366648354402,30.69196274307358,0,0
Expo 2020 Site,24.95351,55.038,12.0,0,25,82.33265661233759,5.027203900924792,0.2322126951468173,10.794894879294821,26.516736641196342,0,0
Deira,25.276987,55.296249,4.0,2,55,78.56023251823369,1.6673075999338316,0.8786291153734382,5.945083516847587,37.243827334171364,1,1
International City,25.1634,55.4179,6.5,1,45,44.31812152186243,7.140640822236142,0.49398148713086265,9.0556235023214,18.08748092232435,0,0
Mirdif,25.2203,55.4162,8.0,1,48,30.854215062263115,5.9844270120522705,0.5655083473229738,8.594148896795426,32.9708809433198,0,0
Expo 2020 Site,24.95351,55.038,12.0,0,25,39.73813359001433,1.007946030158865,0.2560155318536622,8.71314703274881,32.78888715776465,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,34.82450775570531,0.7732106548878726,0.1042469660518095,10.085275583765075,42.32058594767139,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,45.91769346139788,6.0789439379425865,0.37930569838554884,8.930995822119467,21.167394251269123,0,0
Al Barsha,25.1078,55.2077,7.5,1,40,54.24421960561729,3.469532018962277,0.7375012481097484,5.426615290677686,21.73814468819946,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,84.63469952822614,2.775871726294181,0.22009721408109706,2.5521694120947154,30.455210472204378,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,65.15365072318698,5.953850173200438,0.06707647738842748,8.999525644790133,21.297167792867572,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,67.41191238800728,4.810879483875859,0.497011948821249,9.184275372794888,18.089444379939465,1,1
Deira,25.276987,55.296249,4.0,2,55,86.05248400402847,9.789314356159611,0.8397888594565706,10.403925120138283,27.23953486094534,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,92.1222337759452,5.567215847833661,0.7208130963105066,9.663779608294861,44.661863458663284,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,81.51332292372015,8.481280954668835,0.1227768896627085,10.517328910503526,34.2877669084276,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,48.764454857601336,6.24148907849134,0.4094116521912404,6.624566170223763,28.0837958740595,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,42.74749971751083,4.8477836715034615,0.5124576558819216,8.900243330743987,35.96537559482714,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,42.017550009381246,2.7230732651936895,0.018390676547466733,10.971585678725988,18.532532486704234,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,30.769708006093634,1.3688563006880727,0.9000186418481051,10.486680930750182,32.92239306510925,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,59.54252416854811,3.5387137656124947,0.9586271773132206,2.2124510481475586,17.710108817328237,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,63.32352815393698,6.636711653626481,0.936829739324758,8.790865166523004,21.448211357722702,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,73.63327856334935,4.742373087003696,0.3443837320442332,4.218481933610626,27.38380651820257,0,0
Jebel Ali,25.01016,55.062446,11.0,0,20,30.367767299086943,1.0309374601374488,0.3145965568094109,9.689163021801134,43.86296357292353,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,83.13250918771949,7.241033292731386,0.6372315797894869,11.766921602159858,42.10091437908075,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,63.124708265693336,3.1285485650558753,0.12052257878646444,8.77228405749938,20.777970833568915,0,0
Deira,25.276987,55.296249,4.0,2,55,75.11826554380755,6.501673504432281,0.36469724945730586,6.728126328042168,29.431856515322593,1,1
International City,25.1634,55.4179,6.5,1,45,81.64990368345676,5.2016810987873185,0.42681705665486436,10.519984534349394,27.525182520836765,1,1
Deira,25.276987,55.296249,4.0,2,55,54.54982708161971,7.671882889311269,0.40193091360924216,5.758507443646906,33.8251638965511,1,1
Dubai Marina,25.08,55.14,6.0,2,42,37.733187919197626,3.546221576407765,0.28723899165408173,3.555697445471881,22.0082325314973,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,85.85925255003684,2.5898265160181366,0.5885542289732454,11.787966180960979,41.52596934394509,1,1
Mirdif,25.2203,55.4162,8.0,1,48,46.13984370635133,8.306425177506245,0.12033876203499594,0.5633442857737561,26.522718344737488,0,0
Jebel Ali,25.01016,55.062446,11.0,0,20,91.8650119474398,9.27752283195213,0.9949078226464353,2.0867429906338475,26.887260567079764,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,32.44056121636774,8.9492144122784,0.8601268164179238,5.489185173284488,26.735092982411395,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,81.4648858166417,2.813909605775268,0.2526490939608851,0.06098567781631159,35.871428785492505,1,1
Dubai Marina,25.08,55.14,6.0,2,42,64.6602568909782,4.80586577326648,0.5924077846595176,9.89617159110179,25.43427623706579,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,79.58540837005243,8.37013328363672,0.6974714616692836,8.161689261123605,33.55834134645553,0,0
Mirdif,25.2203,55.4162,8.0,1,48,82.04557794041254,1.607598960483082,0.8179670241190622,9.985610135492903,30.224032012825084,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,38.991410266523395,2.833429482655816,0.01842771873821747,5.186889406710147,40.20364508223656,0,0
Al Barsha,25.1078,55.2077,7.5,1,40,34.71454210281402,5.8217046017627325,0.34588305695295674,7.450986213209726,16.372261014375386,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,64.2050233283266,7.704074178077932,0.6832953766065052,5.35083247652098,23.208799988449975,1,1
International City,25.1634,55.4179,6.5,1,45,77.63495114522992,6.545112142811353,0.2732595269982093,11.410362747004925,19.531736753427005,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,52.451991830668916,7.24422672614117,0.7458370120309643,2.404309722584552,41.04368440471593,1,1
Mirdif,25.2203,55.4162,8.0,1,48,31.250332473482356,7.967978278640276,0.2941679733434779,10.942032419518933,44.025337908413334,0,0
Expo 2020 Site,24.95351,55.038,12.0,0,25,64.41161827190058,0.6420893707513409,0.5819714019143988,3.227920853221172,38.92677301911564,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,96.6854046627102,9.078186529846402,0.7242853081264119,8.989939669215397,19.377662221054365,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,35.069139050243905,5.342422059764451,0.8825334858196,0.9901024132850553,39.73542140690502,1,1
Deira,25.276987,55.296249,4.0,2,55,32.882844669549016,6.703854583544122,0.951549974355327,1.4906396007367122,41.88663908055115,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,86.12096581488544,3.3945019254280604,0.8148251137465122,0.9613781566161017,41.84449968181583,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,35.71409874214127,0.603520839905638,0.24710323401014644,1.91453616135826,41.15350699776605,0,0
Deira,25.276987,55.296249,4.0,2,55,80.34412447905848,2.2845474133129873,0.9963339160567419,11.697517945761398,34.50977059040811,1,1
International City,25.1634,55.4179,6.5,1,45,80.90183488364156,7.42706521199981,0.42549333444807536,4.1512199105635545,26.131162889538082,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,72.433209949282,5.977235652558644,0.7929560946056315,7.8601120659853025,44.76399949022017,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,74.27783732584143,3.7284863718893444,0.5126152052058052,4.9563740957723645,17.073983585598583,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,57.933216229597775,8.579862539227058,0.009030404129550251,7.060951600087265,32.96141940300323,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,60.162126656326414,2.487142725876299,0.61714498660403,8.48132660262535,20.011257237028495,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,69.0698174715704,5.399058395022125,0.03418776593915818,11.84031576428594,18.6891242558888,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,37.231626998681094,5.8467070044258875,0.6882078658665954,4.768547861572812,29.396912447762197,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,67.25714921784095,1.2574151180664883,0.13271465381927738,1.7225083444727143,43.19459375780525,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,78.48381665583152,8.381152896481103,0.9446142194740232,8.198976339475749,29.91524292025282,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,45.0972606678402,6.5888547023265716,0.3938644056541585,7.814795724497905,18.19779090923972,1,1
Mirdif,25.2203,55.4162,8.0,1,48,36.33371867009355,2.8868559553063813,0.10910963176574973,7.80613977350059,37.955725936673545,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,87.24839513225152,1.2020905537060844,0.5444890979608495,0.06910392597745885,24.73757489700811,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,56.12762541405381,2.2726962726315145,0.07319592376844364,7.241383120576534,35.04638395665049,0,0
International City,25.1634,55.4179,6.5,1,45,37.6242839292712,1.489918559701947,0.5266237972689596,2.952835905575979,29.300864251234774,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,30.52940124846995,6.47474714154603,0.8980305489499869,2.9217875589155913,42.8110363438892,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,76.90672242276591,9.296058774219892,0.5322602133390402,6.971184639153573,17.688790174648265,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,42.70068433869389,5.251633836670601,0.7090462617224327,1.282523077136926,32.01936658886711,1,1
Dubai Marina,25.08,55.14,6.0,2,42,37.86130410878534,0.025840148449823852,0.6379852057932976,6.182102044004779,32.806157073694415,0,0
Dubai Marina,25.08,55.14,6.0,2,42,47.89514984664906,3.0206050183479505,0.7319580675856345,10.21409113023325,35.14274008591843,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,90.84817372557367,4.728919656331821,0.5353581018426609,2.1413515827332654,24.36815358146388,1,1
International City,25.1634,55.4179,6.5,1,45,49.21781778000877,5.9704691689569165,0.675841245087376,5.312603601354326,28.37372743731687,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,93.38673546307717,7.726227274493826,0.2648954472367334,7.743478050308603,32.8725218456687,1,1
International City,25.1634,55.4179,6.5,1,45,86.02495554756531,2.3371208191043302,0.5400119146045106,10.560949050737499,34.52632107141582,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,81.14553571674722,4.652056122837181,0.060142342600785215,6.747561790534918,43.728758535161404,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,56.77683961708058,1.1982900201764635,0.9741646286280156,0.24031627110989362,37.11540675021729,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,38.939943854466435,8.260676302525283,0.7820280876703859,8.504936372915717,16.084811415742863,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,51.38670174606165,3.969815170742834,0.44720254050483565,7.207132000327407,30.470382830894934,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,73.95650369408452,6.743038064090484,0.5324811925594262,8.657064807944781,19.238341478265173,0,0
Deira,25.276987,55.296249,4.0,2,55,98.29271406019404,6.40972077345332,0.822480563634361,1.5902960729021811,40.86043446817868,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,34.77206165698455,0.25811906949486985,0.13516628915482276,11.557381339070087,31.48588607685051,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,57.052258881140304,5.644410906788825,0.19178245559186058,2.54106420798574,29.53804761056594,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,37.073206770745266,6.9216134169413195,0.06229179813006269,6.1130655377974765,44.9009056155893,0,0
International City,25.1634,55.4179,6.5,1,45,39.14972637181396,8.866042152404667,0.4497846488213225,2.335470141849181,26.03278052631869,0,0
Jebel Ali,25.01016,55.062446,11.0,0,20,31.343459377613968,2.598132087450342,0.760289823122135,1.6453164687479886,31.05930394357775,0,0
Dubai Marina,25.08,55.14,6.0,2,42,64.14978307484537,1.097361986775035,0.547959488973693,5.4525280147195305,40.330712482188474,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,72.98569178293153,8.595652316469458,0.3923937215284745,11.474666287787379,18.99435012534291,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,32.68984442736275,9.017619921354235,0.46147746462473416,7.646417721699365,34.780617666173484,1,1
International City,25.1634,55.4179,6.5,1,45,99.17926897000919,4.432730874436182,0.04783082039410547,0.45626217884945897,37.38621772445516,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,50.75749069013587,3.4970322974584955,0.7746535311811819,7.936447332844972,20.55586703602404,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,83.84562034866934,6.2466356885426375,0.3819396396528959,2.4682471463466613,18.641592544782192,1,1
Dubai Marina,25.08,55.14,6.0,2,42,50.497542569067534,9.799703293588507,0.6018815896363221,6.989071898486958,37.44219538288596,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,60.758349278611654,6.129395824945255,0.9430758377447076,2.8883125419900595,18.645041289027542,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,47.65687141213531,7.550419287462783,0.46053949727414,10.103982634680738,36.85472031484839,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,37.556060025252506,6.852980161158734,0.0918708877100447,11.581556905523959,29.651823901948188,0,0
Jebel Ali,25.01016,55.062446,11.0,0,20,91.13260411025654,6.362913539792481,0.761121537043158,1.920859619454876,28.846724232593697,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,68.85594645116004,7.330712960296748,0.615985450260179,2.2562968153849936,25.661537060572183,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,82.46818391282218,7.586763901110048,0.6783788228551418,9.07517589469743,40.25911114490126,0,0
Deira,25.276987,55.296249,4.0,2,55,45.20463683838474,1.378228991592354,0.6630420045004922,0.0225586022989277,20.351177529219896,1,1
Dubai Marina,25.08,55.14,6.0,2,42,34.53975161380778,5.799837874281312,0.5614845879595237,6.727921132994052,33.104629997893646,0,0
Expo 2020 Site,24.95351,55.038,12.0,0,25,84.94278839780273,7.076809347409157,0.7886149646724064,6.207228677299312,28.205969938664715,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,99.88432579750648,9.331133313435577,0.6425651995351915,5.054976639528864,34.08532094124698,1,1
Mirdif,25.2203,55.4162,8.0,1,48,41.570587767912215,7.00251959444521,0.585810145971902,7.037749106264483,35.93011882560225,0,0
Mirdif,25.2203,55.4162,8.0,1,48,62.32129695286675,4.809060007530697,0.4351803992553568,11.248239530590373,36.18057022992073,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,41.12357173685475,6.102251494776413,0.13535408227768553,9.016501032348549,34.708654688014185,0,0
Deira,25.276987,55.296249,4.0,2,55,55.984496572299875,4.288868788610386,0.8447894362860214,3.2176682411461606,19.691454132103438,1,1
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,84.0300408327135,0.8642461076254648,0.2367843093113854,8.789384782057077,31.449617511792727,1,1
Dubai Marina,25.08,55.14,6.0,2,42,40.147555066587195,7.251557275511148,0.191190701464789,4.0591572639881806,24.260962301195857,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,69.28559517977675,5.233909113743664,0.11476887186921747,10.32167632019322,36.68442909625451,1,1
Dubai Marina,25.08,55.14,6.0,2,42,39.86717392652385,6.641879145054173,0.2160904531853075,1.1707501228715969,40.85960725212817,0,0
Deira,25.276987,55.296249,4.0,2,55,85.57928014576044,4.972559303146882,0.3397774715618851,10.465628400269718,31.34543277253547,1,1
Dubai Marina,25.08,55.14,6.0,2,42,96.2646567939725,5.601822583749119,0.7507295069993472,6.6957688653916785,31.575408443481756,1,1
Mirdif,25.2203,55.4162,8.0,1,48,56.62940052552936,7.756118509253275,0.9644766539008116,2.445197509532269,30.69988893584224,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,41.62240193913368,6.134731386391763,0.36310073663401043,10.766236091575427,20.065626200330584,0,0
International City,25.1634,55.4179,6.5,1,45,97.74291139723722,8.568739360750941,0.1176439881593252,8.876763985026487,24.59000497321634,1,1
International City,25.1634,55.4179,6.5,1,45,59.92427815444306,1.6223340578247936,0.01260751997575904,6.717068203660591,30.82198866368029,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,37.752391172327066,7.595824101146318,0.988065566652774,10.815552129295785,34.55003756119278,1,1
Deira,25.276987,55.296249,4.0,2,55,79.84098142315466,8.259782127080818,0.10063747852353333,2.8784893530713367,19.25915969282982,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,98.53734566106081,6.3414213829573685,0.12626474156450274,8.114130744905207,24.753120462950967,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,35.39546083660225,3.403800926666749,0.866386514251342,2.586358425495982,25.811334597910427,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,86.5177221237966,0.5909389007825328,0.8988473881802473,7.809222570704968,41.22680172415055,1,1
Dubai Marina,25.08,55.14,6.0,2,42,58.89327904862182,8.023543291592642,0.4790700631033512,0.21600106734257984,27.643321247377422,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,86.34347437890071,0.180065556004545,0.962810357074026,8.72005190484388,24.142532861584,0,0
Mirdif,25.2203,55.4162,8.0,1,48,33.228649503501366,5.671707799193856,0.2838284470235203,9.894417697044386,17.227226189651592,0,0
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,53.82840903446953,9.89028358350174,0.6261761715931382,6.375798246816709,40.14456550655773,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,38.04530979416968,0.938572848233562,0.9096268194365924,8.030403155256941,39.87860397950267,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,72.1346401710592,8.925232899548462,0.4433800143791877,7.285074944625048,33.93922659275966,0,0
Deira,25.276987,55.296249,4.0,2,55,64.13669480348851,6.522242595454725,0.9505310525862035,7.207812798580271,37.307817485296795,1,1
Dubai Marina,25.08,55.14,6.0,2,42,72.28501739498535,9.07380164712847,0.23885666040192766,5.635701296168508,28.51395904973455,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,89.7895198355353,0.49496853493666615,0.8333170714730125,10.127095351340689,23.547240645928824,1,1
Mirdif,25.2203,55.4162,8.0,1,48,57.79105288660342,0.8709276679577149,0.6170665161178013,1.3660607217192169,25.35669428405076,1,1
Bur Dubai,25.253174,55.297916,3.5,2,50,49.231206786366364,3.945760755976464,0.42182817853883137,4.93225290318655,42.22833007669665,1,1
Al Quoz Industrial,25.1357,55.2311,7.0,1,35,80.23004873121161,8.295875568652503,0.04055873754468142,10.459172727458768,22.700826849301375,0,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,58,35.61260098573324,3.547712918359842,0.941725711618925,8.022871760674969,35.36009870017695,1,1
Expo 2020 Site,24.95351,55.038,12.0,0,25,74.65139648645437,7.409812502745785,0.5299915229264187,9.948212790545892,44.737896802009,0,0
